"ville_id","ville_departement","ville_nom","ville_nom_simple","ville_nom_reel","ville_code_postal","ville_code_commune","ville_arrondissement","ville_longitude_deg","ville_latitude_deg"
"117","01","NIVOLLET-MONTGRIFFON","nivollet montgriffon","Nivollet-Montgriffon","01230","01277","1","5.43333","45.9833"
"118","01","IZERNORE","izernore","Izernore","01580","01192","4","5.55","46.2167"
"119","01","SAINT-NIZIER-LE-DESERT","saint nizier le desert","Saint-Nizier-le-Désert","01320","01381","2","5.15","46.05"
"120","01","GUEREINS","guereins","Guéreins","01090","01183","2","4.78333","46.1"
"121","01","ILLIAT","illiat","Illiat","01140","01188","2","4.88333","46.1833"
"122","01","LA TRANCLIERE","la trancliere","La Tranclière","01160","01425","2","5.26667","46.1167"
"123","01","SAINT-DIDIER-DE-FORMANS","saint didier de formans","Saint-Didier-de-Formans","01600","01347","2","4.78333","45.95"
"124","01","MERIGNAT","merignat","Mérignat","01450","01242","4","5.43333","46.0667"
"125","01","SAINT-ELOI","saint eloi","Saint-Éloi","01800","01349","2","5.15","45.9333"
"126","01","LA CHAPELLE-DU-CHATELARD","la chapelle du chatelard","La Chapelle-du-Châtelard","01240","01085","2","5.03333","46.0667"
"127","01","SAINT-JEAN-DE-NIOST","saint jean de niost","Saint-Jean-de-Niost","01800","01361","2","5.21667","45.8333"
"128","01","SAVIGNEUX","savigneux","Savigneux","01480","01398","2","4.85","46"
"129","01","NATTAGES","nattages","Nattages","01300","01271","1","5.76667","45.7333"
"130","01","SAINT-BENOIT","saint benoit","Saint-Benoît","01300","01338","1","5.58333","45.7"
"131","01","DOUVRES","douvres","Douvres","01500","01149","1","5.36667","45.9833"
"132","01","FRANCHELEINS","francheleins","Francheleins","01090","01165","2","4.8","46.0667"
"133","01","DORTAN","dortan","Dortan","01590","01148","4","5.66667","46.3167"
"134","01","SAINT-GERMAIN-LES-PAROISSES","saint germain les paroisses","Saint-Germain-les-Paroisses","01300","01358","1","5.61667","45.7667"
"135","01","MIRIBEL","miribel","Miribel","01700","01249","2","4.95306","45.8245"
"136","01","LANCRANS","lancrans","Lancrans","01200","01205","3","5.83333","46.1333"
"137","01","ECHENEVEX","echenevex","Échenevex","01170","01153","3","6.03333","46.3167"
"138","01","SAINT-JEAN-SUR-VEYLE","saint jean sur veyle","Saint-Jean-sur-Veyle","01290","01365","2","4.91667","46.25"
"139","01","BILLIAT","billiat","Billiat","01200","01044","4","5.78333","46.0667"
"140","01","L'ABERGEMENT-DE-VAREY","l abergement de varey","L'Abergement-de-Varey","01640","01002","1","5.41667","46"
"141","01","VILLENEUVE","villeneuve","Villeneuve","01480","01446","2","4.83667","46.0212"
"142","01","VILLARS-LES-DOMBES","villars les dombes","Villars-les-Dombes","01330","01443","2","5.01667","46"
"143","01","THEZILLIEU","thezillieu","Thézillieu","01110","01417","1","5.6","45.8833"
"144","01","SAINT-ETIENNE-SUR-REYSSOUZE","saint etienne sur reyssouze","Saint-Étienne-sur-Reyssouze","01190","01352","2","5","46.4"
"145","01","SOUCLIN","souclin","Souclin","01150","01411","1","5.41667","45.8667"
"146","01","SAINT-JUST","saint just","Saint-Just","01250","01369","2","5.28","46.1903"
"147","01","CIVRIEUX","civrieux","Civrieux","01390","01105","2","4.88333","45.9167"
"148","01","ARGIS","argis","Argis","01230","01017","1","5.48333","45.9333"
"149","01","TALISSIEU","talissieu","Talissieu","01510","01415","1","5.71667","45.8667"
"150","01","BIRIEUX","birieux","Birieux","01330","01045","2","5.03333","45.95"
"151","01","SAINT-JULIEN-SUR-VEYLE","saint julien sur veyle","Saint-Julien-sur-Veyle","01540","01368","2","4.95","46.2"
"152","01","THOIRY","thoiry","Thoiry","01710","01419","3","5.97973","46.2364"
"153","01","LAIZ","laiz","Laiz","01290","01203","2","4.88333","46.25"
"154","01","CRESSIN-ROCHEFORT","cressin rochefort","Cressin-Rochefort","01350","01133","1","5.76667","45.7667"
"155","01","SAINT-CHAMP","saint champ","Saint-Champ","01300","01341","1","5.73333","45.7833"
"156","01","SAINT-GEORGES-SUR-RENON","saint georges sur renon","Saint-Georges-sur-Renon","01400","01356","2","5.03333","46.1"
"157","01","LANTENAY","lantenay","Lantenay","01430","01206","4","5.53333","46.05"
"158","01","VERNOUX","vernoux","Vernoux","01560","01433","2","5.11667","46.4833"
"159","01","CORMARANCHE-EN-BUGEY","cormaranche en bugey","Cormaranche-en-Bugey","01110","01122","1","5.6","45.95"
"160","01","SAINTE-EUPHEMIE","sainte euphemie","Sainte-Euphémie","01600","01353","2","4.78333","45.9667"
"161","01","BEAUPONT","beaupont","Beaupont","01270","01029","2","5.26667","46.4"
"162","01","BRENS","brens","Brens","01300","01061","1","5.69473","45.7187"
"163","01","RAMASSE","ramasse","Ramasse","01250","01317","2","5.35","46.2"
"164","01","DIVONNE-LES-BAINS","divonne les bains","Divonne-les-Bains","01220","01143","3","6.13333","46.3667"
"165","01","LEAZ","leaz","Léaz","01200","01209","3","5.88333","46.1"
"166","01","VILLES","villes","Villes","01200","01448","4","5.78333","46.0833"
"167","01","SAINT-JULIEN-SUR-REYSSOUZE","saint julien sur reyssouze","Saint-Julien-sur-Reyssouze","01560","01367","2","5.11667","46.4"
"168","01","GROSLEE","groslee","Groslée","01680","01182","1","5.56667","45.7167"
"169","01","VANDEINS","vandeins","Vandeins","01660","01429","2","5.08333","46.2167"
"170","01","VERJON","verjon","Verjon","01270","01432","2","5.35","46.35"
"171","01","SAINT-ANDRE-SUR-VIEUX-JONC","saint andre sur vieux jonc","Saint-André-sur-Vieux-Jonc","01240","01336","2","5.06667","46.15"
"172","01","SAINT-ANDRE-D'HUIRIAT","saint andre d huiriat","Saint-André-d'Huiriat","01290","01334","2","4.91667","46.2167"
"173","01","GRILLY","grilly","Grilly","01220","01180","3","6.11667","46.3333"
"174","01","CESSY","cessy","Cessy","01170","01071","3","6.06667","46.3167"
"175","01","ORDONNAZ","ordonnaz","Ordonnaz","01510","01280","1","5.53333","45.8333"
"176","01","VESCOURS","vescours","Vescours","01560","01437","2","5.03333","46.4667"
"177","01","MEILLONNAS","meillonnas","Meillonnas","01370","01241","2","5.35","46.25"
"178","01","GEOVREISSET","geovreisset","Géovreisset","01100","01171","4","5.6","46.25"
"179","01","CEYZERIEU","ceyzerieu","Ceyzérieu","01350","01073","1","5.73333","45.8333"
"180","01","BEARD-GEOVREISSIAT","beard geovreissiat","Béard-Géovreissiat","01460","01170","4","5.56667","46.2"
"181","01","LA BURBANCHE","la burbanche","La Burbanche","01510","01066","1","5.56667","45.85"
"182","01","PERREX","perrex","Perrex","01540","01291","2","4.98333","46.2333"
"183","01","VILLEMOTIER","villemotier","Villemotier","01270","01445","2","5.31667","46.35"
"184","01","JASSERON","jasseron","Jasseron","01250","01195","2","5.33333","46.2167"
"185","01","CORVEISSIAT","corveissiat","Corveissiat","01250","01125","2","5.48333","46.2333"
"186","01","JOURNANS","journans","Journans","01250","01197","2","5.33333","46.15"
"187","01","SERMOYER","sermoyer","Sermoyer","01190","01402","2","4.98333","46.5"
"188","01","CHARIX","charix","Charix","01130","01087","4","5.68333","46.1833"
"189","01","ARBIGNIEU","arbignieu","Arbignieu","01300","01015","1","5.65","45.7333"
"190","01","LEYSSARD","leyssard","Leyssard","01450","01214","4","5.46667","46.1667"
"191","01","SAINT-JEAN-DE-THURIGNEUX","saint jean de thurigneux","Saint-Jean-de-Thurigneux","01390","01362","2","4.88333","45.95"
"192","01","FRANS","frans","Frans","01480","01166","2","4.78333","45.9833"
"193","01","TENAY","tenay","Tenay","01230","01416","1","5.5","45.9167"
"194","01","BAGE-LA-VILLE","bage la ville","Bâgé-la-Ville","01380","01025","2","4.95","46.3167"
"195","01","MONTMERLE-SUR-SAONE","montmerle sur saone","Montmerle-sur-Saône","01090","01263","2","4.76667","46.0833"
"196","01","COURMANGOUX","courmangoux","Courmangoux","01370","01127","2","5.36667","46.3333"
"197","01","BANEINS","baneins","Baneins","01990","01028","2","4.9","46.1167"
"198","01","LAGNIEU","lagnieu","Lagnieu","01150","01202","1","5.35","45.9"
"199","01","ATTIGNAT","attignat","Attignat","01340","01024","2","5.16667","46.2833"
